0,1,2,3,4,5,6,7,8
10,11,43,15,28,49,55,26,11
10,12,44,39,37,56,72,21,8
16,18,31,36,47,54,67,36,18
16,18,32,49,52,72,64,48,20
9,27,52,50,70,108,65,41,19
13,13,37,47,42,60,57,34,17
15,19,41,30,33,53,50,30,9
9,13,30,35,39,48,52,24,16
16,35,34,40,62,82,87,27,14
11,19,55,40,48,66,56,34,3
6,19,42,40,42,61,74,34,6
12,35,31,35,32,55,47,30,11
14,17,29,32,39,58,72,29,7
5,18,17,27,27,62,66,22,2
5,13,22,27,23,38,48,14,7
3,23,39,28,35,58,56,31,6
4,10,32,20,24,33,29,11,3
4,10,14,17,16,19,15,6,2
2,6,11,12,5,10,6,2,2
1,7,4,11,12,12,2,3,2
0,0,6,5,4,9,7,3,0
0,0,4,3,3,4,13,1,0
4,1,7,5,3,7,7,0,2
1,1,7,4,4,10,13,3,0
0,4,3,1,5,2,5,0,0
0,4,13,3,3,8,9,3,0
1,3,6,7,4,6,5,1,0
4,5,6,5,6,4,2,0,2
2,3,4,2,2,5,4,1,0
2,0,5,7,8,4,2,1,1
1,0,0,10,6,8,5,1,0
1,0,5,13,8,4,3,1,1
0,0,2,6,4,0,6,0,0
0,1,6,16,11,5,4,5,0
2,2,4,4,7,5,3,1,0
1,1,5,7,3,1,2,4,1
0,0,4,13,15,18,5,1,2
1,1,13,38,34,14,8,2,2
1,1,3,5,6,8,11,4,2
0,4,19,3,8,12,9,4,0
0,7,8,8,10,9,11,6,4
1,1,12,8,3,5,3,8,4
2,2,8,6,4,2,1,0,1
3,2,4,9,3,4,6,2,1
3,4,10,5,9,7,0,1,0
14,14,3,1,9,8,6,3,2
6,2,13,15,9,6,6,3,1
1,1,4,8,9,9,7,0,0
3,4,18,15,9,4,5,3,1
3,4,18,15,9,4,5,3,1
2,6,4,13,5,3,9,1,1
1,0,8,6,2,8,2,4,4
3,3,10,9,5,8,3,3,1
2,4,11,7,11,10,3,1,1
1,3,11,11,15,10,5,6,1
1,2,11,7,7,7,7,2,0
5,1,7,10,6,9,5,2,3
3,3,8,9,11,7,14,6,0
3,2,12,16,8,8,9,2,3
2,10,10,10,6,7,11,4,3
2,2,8,6,2,14,12,7,1
0,2,4,13,2,16,6,7,1
3,4,10,6,8,6,3,3,0
3,1,9,5,6,5,12,1,0
2,3,12,12,10,6,13,3,1
1,2,14,10,6,5,7,4,2
1,2,8,10,5,4,6,1,2
1,3,0,9,2,6,5,2,0
2,1,3,15,11,10,5,2,2
3,0,4,9,9,9,7,4,1
0,1,3,4,1,5,2,1,0
0,1,5,10,5,8,10,6,3
2,4,9,13,8,12,13,3,3
0,2,8,9,3,12,11,3,1
1,1,10,4,6,9,13,7,8
2,1,8,14,2,7,3,5,1
2,1,3,4,4,6,8,6,0
2,0,5,5,11,6,4,2,1
0,0,8,3,6,7,8,1,1
0,1,9,1,3,9,8,7,10
0,3,11,8,1,17,13,2,1
1,3,6,10,5,9,5,5,1
1,2,6,9,1,7,16,7,1
0,0,3,2,4,10,9,5,5
1,2,5,2,5,6,11,3,3
1,6,3,6,8,11,12,8,2
3,1,2,6,11,8,9,8,3
1,2,5,2,3,7,10,7,2
1,0,5,3,3,9,9,6,3
1,2,5,6,5,9,15,6,0
0,2,5,3,2,9,11,5,1
1,2,2,4,6,13,5,2,0
